id	region	population	sex	age	education	income	statusquo	vote
324	C	25000	F	60	S	15000	-0.78119	N
327	C	25000	M	21	P	2500	1.03727	Y
328	C	25000	M	32	S	35000	-1.25795	N
329	C	25000	M	44	PS	35000	-1.29617	N
330	C	25000	M	56	S	75000	1.51576	Y
331	C	25000	F	67	P	15000	-0.52966	Y
332	C	25000	F	27	S	35000	1.19271	Y
333	C	25000	F	29	S	7500	-1.29617	N
334	C	25000	M	51	P	35000	-1.29617	N
335	C	25000	M	26	S	35000	-0.61861	N
338	C	25000	M	58	P	15000	-1.26325	N
340	C	25000	M	34	P	35000	-1.29617	N
341	C	45000	F	56	P	7500	-1.25795	N
342	C	45000	F	24	P	7500	-1.29617	N
343	C	45000	M	20	S	35000	-1.29617	N
344	C	45000	M	21	S	35000	-1.19504	N
345	C	45000	M	58	S	35000	-1.14049	N
346	C	45000	F	33	S	75000	-0.30372	N
347	C	45000	M	35	S	75000	-1.21834	N
348	C	45000	F	32	P	15000	1.5877	Y
349	C	45000	F	40	PS	75000	-1.29617	N
350	C	45000	M	36	PS	200000	-0.21637	N
352	C	45000	M	57	PS	35000	1.43772	Y
353	C	45000	M	44	S	35000	-1.03566	N
354	C	45000	F	51	P	15000	1.15628	Y
355	C	45000	M	26	S	35000	-0.64455	N
356	C	45000	M	34	S	75000	0.66781	Y
357	C	45000	F	47	S	75000	-0.897	N
359	C	45000	F	18	S	75000	-0.92939	N
360	C	45000	M	51	PS	75000	-1.08055	N
361	C	62500	F	26	S	15000	0.66877	Y
362	C	62500	M	29	PS	75000	0.77374	Y
363	C	62500	F	27	P	15000	1.25914	Y
364	C	62500	F	57	S	2500	1.5877	Y
365	C	62500	M	67	P	7500	1.59802	Y
366	C	62500	F	30	S	35000	0.93454	Y
367	C	62500	M	21	S	15000	-1.06991	N
368	C	62500	M	68	P	15000	-1.29617	N
370	C	62500	F	38	S	15000	-1.00007	N
372	C	62500	M	50	S	75000	-1.14103	N
373	C	62500	F	19	S	15000	-1.14361	N
374	C	62500	F	57	S	15000	-1.29617	N
375	C	62500	F	51	S	15000	-1.15092	N
376	C	62500	M	69	P	15000	-1.29617	N
377	C	62500	M	22	PS	75000	-1.07977	N
378	C	62500	F	32	S	7500	-1.29617	N
379	C	62500	F	68	P	35000	-1.29617	N
380	C	62500	M	22	PS	35000	-1.29617	N
381	C	15000	M	48	P	15000	-0.75604	N
382	C	15000	M	31	P	7500	0.36202	Y
383	C	15000	F	25	S	15000	-0.86459	N
385	C	15000	M	39	P	35000	1.47024	Y
387	C	15000	F	22	P	15000	1.54808	Y
388	C	15000	M	19	S	35000	-0.98933	N
390	C	15000	M	18	P	35000	-0.99498	N
395	C	15000	F	37	S	15000	0.42459	Y
399	C	15000	M	21	P	35000	-0.72868	N
400	C	15000	M	54	P	7500	-1.09392	N
403	C	15000	M	32	S	35000	-1.18933	N
406	C	15000	M	70	PS	15000	1.29276	Y
407	C	15000	M	42	S	35000	1.10717	Y
408	C	15000	M	20	PS	125000	0.4198	N
410	C	15000	F	64	P	7500	1.25272	Y
411	C	15000	M	21	PS	35000	1.44401	Y
413	C	15000	M	57	P	2500	-0.64767	N
415	C	15000	F	57	P	2500	1.44738	Y
418	C	15000	F	56	P	7500	-1.29617	N
421	C	250000	F	35	S	200000	-1.11826	N
423	C	250000	M	66	P	75000	1.46885	Y
426	C	250000	M	23	S	35000	-1.25795	N
427	C	250000	F	28	S	35000	-1.29617	N
428	C	250000	F	62	P	15000	-1.29617	N
429	C	250000	M	28	P	2500	-1.29617	N
430	C	250000	M	39	P	15000	0.75644	Y
431	C	250000	F	42	S	35000	1.22853	Y
432	C	250000	F	23	S	7500	-1.29617	N
433	C	250000	M	19	S	35000	-1.1113	N
435	C	250000	M	59	S	15000	-1.29617	N
436	C	250000	F	33	S	35000	-0.21633	N
438	C	250000	M	44	PS	35000	-1.18151	N
441	C	250000	F	57	S	15000	0.26703	Y
446	C	250000	M	30	P	7500	-0.96845	N
448	C	250000	F	22	P	2500	-0.93017	N
451	C	250000	F	61	NA	75000	1.29824	Y
454	C	250000	M	28	P	7500	-1.29617	N
455	C	250000	M	44	S	7500	1.37208	Y
456	C	250000	M	30	S	2500	-1.29617	N
457	C	250000	F	34	PS	15000	-1.29617	N
458	C	250000	F	43	P	35000	-0.56792	Y
459	C	250000	M	70	S	35000	-0.94371	N
460	C	250000	M	50	S	75000	0.53491	Y
461	C	250000	F	28	S	75000	-1.27876	N
462	C	250000	M	65	P	2500	1.47262	Y
464	C	250000	F	22	S	7500	-1.33198	N
466	C	250000	M	33	PS	75000	-1.29617	N
468	C	250000	M	67	S	35000	-1.29617	N
469	C	250000	F	70	P	35000	-1.29617	N
470	C	250000	F	30	S	15000	-1.29617	N
471	C	250000	M	58	S	15000	1.09519	Y
472	C	250000	F	25	S	35000	-0.65599	N
473	C	250000	F	42	S	15000	-0.85881	N
474	C	250000	M	65	S	35000	-1.29617	N
475	C	250000	M	24	PS	15000	-1.03486	N
476	C	250000	F	19	P	7500	0.4159	Y
477	C	250000	M	23	S	35000	-0.75072	N
478	C	250000	M	39	P	35000	-1.29617	N
479	C	250000	F	37	P	15000	-1.00723	Y
480	C	250000	F	22	P	15000	0.03479	Y
485	C	250000	M	70	P	35000	-0.69434	N
486	C	250000	F	22	P	35000	-1.1824	N
487	C	250000	F	47	P	35000	0.127	Y
488	C	250000	M	22	S	35000	-1.07569	N
489	C	250000	M	58	PS	125000	-0.64344	N
491	C	250000	M	31	S	35000	-1.15421	N
493	C	250000	F	23	S	35000	1.30163	Y
494	C	250000	M	39	PS	75000	0.86302	Y
495	C	250000	M	27	S	35000	0.87325	Y
496	C	250000	M	63	S	35000	-0.84928	N
500	C	250000	M	27	PS	200000	-0.22146	Y
501	C	250000	M	62	P	15000	-1.29617	N
502	C	250000	M	19	S	2500	-1.22301	N
503	C	250000	M	18	S	2500	-1.30351	Y
504	C	250000	F	34	S	7500	-1.25795	N
505	C	250000	F	39	P	75000	1.50846	Y
506	C	250000	F	26	PS	35000	-0.97459	N
508	C	250000	M	59	PS	200000	0.84207	Y
509	C	250000	F	53	PS	15000	1.38659	Y
510	C	250000	F	26	PS	125000	-0.8109	N
511	C	250000	F	56	P	7500	-1.29617	N
512	C	250000	F	27	S	35000	1.34452	Y
513	C	250000	M	65	P	2500	-1.17732	N
514	C	250000	F	63	P	15000	-1.29617	N
515	C	250000	M	29	P	7500	-1.29617	N
516	C	250000	F	37	PS	35000	-1.29617	N
517	C	250000	F	32	S	200000	1.23437	Y
518	C	250000	M	25	S	125000	-0.80253	N
519	C	250000	M	70	S	75000	1.39831	Y
520	C	250000	M	60	S	200000	1.3094	Y
521	C	250000	M	48	S	200000	-0.54021	N
523	C	250000	F	22	PS	75000	-1.06935	N
524	C	250000	F	30	PS	35000	-0.1658	Y
525	C	250000	M	31	PS	75000	1.13365	Y
527	C	250000	F	45	S	35000	-0.90844	N
528	C	250000	F	70	S	35000	-1.19739	N
529	C	250000	F	23	PS	200000	-1.1886	N
532	C	250000	M	65	PS	35000	1.5877	Y
533	C	250000	F	37	S	7500	-1.29629	N
534	C	250000	M	24	S	75000	-0.68517	N
535	C	250000	F	18	S	15000	-1.25795	N
536	C	250000	M	41	P	2500	-1.29617	N
537	C	250000	F	28	S	15000	-1.25795	N
538	C	250000	F	19	S	15000	-0.08274	Y
542	C	8750	F	40	S	15000	0.80306	Y
544	C	8750	F	69	P	7500	1.32322	Y
545	C	8750	M	70	P	200000	0.51325	Y
548	C	8750	M	34	P	15000	1.5877	Y
549	C	8750	F	24	P	15000	1.12054	Y
551	C	8750	M	35	P	15000	-0.21059	N
552	C	8750	F	53	P	35000	1.29609	Y
553	C	8750	M	31	S	35000	1.48693	Y
554	C	8750	M	62	P	75000	-1.14049	N
556	C	8750	M	20	S	75000	-0.08662	N
558	C	8750	F	20	PS	35000	-0.88127	N
559	C	8750	F	50	P	2500	-1.13456	N
561	C	125000	F	36	S	35000	-1.18401	N
562	C	125000	M	63	P	75000	-0.34932	Y
563	C	125000	M	59	S	125000	1.33168	Y
564	C	125000	M	25	PS	75000	-0.04547	N
565	C	125000	F	23	S	35000	0.58791	Y
566	C	125000	M	21	PS	75000	-1.14049	N
568	C	125000	F	58	S	200000	1.21521	Y
569	C	125000	M	41	S	75000	-0.55437	N
571	C	125000	F	54	P	15000	-0.5497	N
573	C	125000	M	29	S	75000	-1.03701	N
574	C	125000	M	63	S	35000	-0.26969	N
577	C	125000	F	59	P	15000	1.00672	Y
579	C	125000	M	44	P	15000	-0.13466	N
580	C	125000	F	32	S	35000	-0.18149	N
581	C	62500	F	25	P	2500	-1.29617	N
582	C	62500	F	38	S	35000	0.76091	Y
584	C	62500	F	29	P	15000	0.00293	Y
585	C	62500	M	40	P	7500	1.43009	Y
586	C	62500	M	48	S	15000	-0.09579	Y
587	C	62500	F	21	S	15000	-0.56194	Y
588	C	62500	M	27	P	15000	1.5877	Y
589	C	62500	F	66	P	35000	1.40283	Y
590	C	62500	M	36	P	7500	-1.29617	N
591	C	62500	M	38	PS	7500	-1.22503	N
593	C	62500	F	18	P	7500	1.43653	Y
595	C	62500	F	53	P	2500	-1.29617	N
596	C	62500	M	23	S	15000	-0.60929	N
597	C	62500	M	60	P	15000	1.19498	Y
600	C	62500	F	53	P	15000	-1.29617	N
601	C	175000	F	39	S	35000	1.24709	Y
602	C	175000	F	19	S	15000	-0.66475	Y
603	C	175000	M	33	S	15000	-1.22285	N
608	C	175000	M	37	S	35000	1.43793	Y
609	C	175000	F	38	P	2500	-1.21695	N
610	C	175000	F	46	P	2500	1.54808	Y
611	C	175000	M	21	S	75000	0.90752	Y
612	C	175000	F	35	S	200000	-1.00723	N
613	C	175000	F	64	S	75000	-1.27876	N
614	C	175000	M	33	PS	125000	-1.25795	N
618	C	175000	M	22	S	35000	-1.05257	N
619	C	175000	M	36	S	15000	-0.6507	N
622	C	175000	F	24	S	7500	-0.98901	N
623	C	175000	M	30	P	15000	-1.17312	N
625	C	175000	F	46	P	15000	0.97835	Y
626	C	175000	M	18	S	15000	-0.79884	N
628	C	175000	F	56	P	15000	1.51126	Y
629	C	175000	F	20	S	15000	0.75833	Y
630	C	175000	M	40	S	125000	1.38337	Y
631	C	175000	F	18	PS	15000	-1.07377	N
636	C	175000	F	29	S	35000	1.11235	Y
637	C	175000	M	30	P	15000	-0.69377	N
639	C	175000	M	66	P	7500	0.55558	Y
640	C	175000	M	64	P	15000	0.7835	Y
641	C	15000	F	54	PS	75000	1.30775	Y
644	C	15000	M	54	S	35000	0.96337	Y
646	C	15000	M	18	PS	35000	-0.72698	N
648	C	15000	F	23	S	35000	1.28602	Y
649	C	15000	F	38	S	7500	0.19175	N
650	C	15000	M	36	S	15000	-1.11878	N
651	C	15000	F	33	S	35000	1.47024	Y
652	C	15000	F	37	PS	35000	1.34591	Y
654	C	15000	M	38	P	15000	-0.56775	N
655	C	15000	M	34	S	35000	-1.21974	N
656	C	15000	F	39	P	7500	1.5877	Y
659	C	15000	M	70	P	15000	1.5877	Y
660	C	15000	F	34	PS	35000	0.01279	N
661	C	15000	F	30	S	35000	1.07897	Y
662	C	15000	M	35	PS	15000	-0.97431	N
666	C	15000	F	31	S	2500	-0.92695	N
667	C	15000	M	34	S	35000	-0.70263	N
670	C	15000	M	59	P	15000	-1.14049	N
671	C	15000	F	53	P	NA	1.5877	Y
672	C	15000	M	44	P	7500	0.89793	Y
673	C	15000	F	33	P	7500	1.24161	Y
675	C	15000	M	22	P	15000	-1.22503	N
677	C	15000	M	43	P	75000	1.56817	Y
685	C	15000	M	22	S	15000	-0.40299	N
687	C	15000	M	22	S	7500	-1.29617	N
688	C	15000	M	30	P	7500	-1.29617	N
690	C	15000	F	37	P	7500	1.48894	Y
691	C	15000	F	38	S	35000	1.51326	Y
692	C	15000	M	34	S	7500	-1.14579	N
693	C	15000	F	30	S	35000	-1.30485	N
694	C	15000	M	60	P	7500	0.90604	Y
695	C	15000	M	45	P	15000	0.81951	Y
696	C	15000	M	42	P	7500	1.0111	N
700	C	15000	M	20	PS	15000	-1.0234	N
703	C	45000	F	60	P	2500	1.5877	Y
706	C	45000	M	53	P	2500	-1.29617	N
709	C	45000	F	58	P	15000	1.50846	Y
710	C	45000	M	28	S	7500	-0.6341	Y
712	C	45000	M	40	PS	35000	1.44322	Y
715	C	45000	F	60	P	15000	-0.62453	Y
716	C	45000	F	30	S	15000	-1.21873	N
717	C	45000	M	24	P	15000	-1.29617	N
718	C	45000	M	63	PS	75000	-0.98189	N
719	C	45000	F	25	PS	35000	1.40361	Y
722	C	25000	F	25	P	15000	0.84305	Y
724	C	25000	M	19	S	75000	0.06239	N
725	C	25000	M	53	S	35000	1.33246	Y
729	C	25000	M	44	S	35000	0.87593	Y
733	C	25000	F	58	P	7500	1.68665	Y
734	C	25000	M	22	P	15000	-1.26325	N
735	C	25000	M	68	P	2500	-0.80882	N
737	C	25000	F	30	P	15000	1.41999	Y
738	C	25000	M	21	P	15000	-1.06433	N
740	C	25000	M	38	PS	35000	-0.75159	N
742	C	87500	F	60	P	15000	-0.16861	N
746	C	87500	M	27	PS	75000	-0.73188	N
747	C	87500	M	26	PS	35000	-1.14103	N
748	C	87500	F	23	PS	35000	-0.96823	N
749	C	87500	F	60	P	35000	1.03942	Y
750	C	87500	M	52	PS	75000	-1.29617	N
751	C	87500	F	45	PS	35000	0.32782	Y
754	C	87500	M	43	P	15000	-1.11878	N
755	C	87500	M	35	PS	75000	-1.29617	N
756	C	87500	F	22	P	2500	1.3924	Y
757	C	87500	M	22	P	15000	-0.80408	N
758	C	87500	F	51	P	2500	1.47157	Y
761	C	175000	F	37	PS	35000	-1.05333	N
764	C	175000	M	40	PS	35000	-0.12877	N
767	C	175000	M	49	P	15000	-1.19148	N
768	C	175000	M	55	P	15000	-0.55326	N
769	C	175000	M	24	P	15000	-1.25986	N
775	C	175000	M	49	PS	200000	-1.21834	N
776	C	175000	F	53	S	15000	1.5877	Y
777	C	175000	F	20	P	2500	1.1384	Y
778	C	175000	M	20	S	15000	0.29898	Y
779	C	175000	F	27	PS	35000	-1.18011	N
780	C	175000	M	36	PS	75000	-0.70445	N
782	C	175000	M	50	P	15000	-1.29617	N
783	C	175000	F	40	P	15000	-1.29617	N
784	C	175000	M	21	S	75000	-1.29617	N
785	C	175000	M	43	P	15000	-1.29617	N
787	C	175000	F	39	P	7500	1.5877	Y
790	C	175000	M	22	S	35000	0.74317	Y
791	C	175000	F	42	P	15000	-1.29617	N
793	C	175000	F	20	P	35000	-1.14456	N
794	C	175000	F	29	S	15000	0.91463	Y
796	C	175000	F	60	P	7500	-1.15225	N
797	C	175000	F	35	P	15000	0.9464	Y
799	C	175000	M	26	S	15000	-0.79157	N
801	C	175000	M	19	PS	35000	0.35572	Y
804	C	175000	F	45	P	7500	0.44717	Y
806	C	175000	F	28	PS	NA	1.49096	Y
807	C	175000	F	28	PS	125000	0.06371	Y
808	C	175000	M	39	PS	200000	-0.19457	N
809	C	175000	F	41	PS	75000	1.41116	Y
811	C	175000	F	32	S	15000	-0.99973	N
812	C	175000	M	29	S	35000	-1.07308	N
813	C	175000	M	31	PS	35000	-0.7163	N
815	C	175000	F	42	PS	35000	-1.00592	N
819	C	175000	M	28	S	75000	-0.99275	N
824	C	25000	F	37	P	15000	1.47615	Y
825	C	25000	M	54	P	7500	0.96198	Y
826	C	25000	M	65	P	15000	0.79963	Y
828	C	25000	M	19	S	35000	-0.73973	N
829	C	25000	M	26	PS	35000	-1.08349	N
830	C	25000	F	45	P	15000	1.56861	Y
832	C	25000	F	40	P	NA	1.12691	Y
834	C	25000	M	39	P	7500	-1.29617	N
835	C	25000	M	36	P	7500	0.80323	Y
836	C	25000	M	47	S	15000	0.29779	Y
838	C	25000	F	59	P	15000	1.5877	Y
840	C	25000	M	23	P	NA	-1.07036	N
841	C	62500	F	45	P	NA	0.1523	Y
842	C	62500	M	52	P	2500	-0.9757	N
844	C	62500	M	19	PS	75000	-0.64524	N
845	C	62500	F	20	S	35000	0.81443	Y
846	C	62500	M	20	S	7500	0.71902	Y
847	C	62500	F	47	P	15000	0.35864	Y
848	C	62500	F	25	S	15000	-1.08876	N
849	C	62500	M	42	S	15000	1.09242	Y
850	C	62500	M	40	P	35000	1.43653	Y
851	C	62500	F	29	PS	75000	-0.83828	N
